Item,Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer/Project: Company Name
,Invoice,7/13/16,INV15462,SAFARI Montage Algebra's Package (Renewal),1.00,$500.00 ,$500.00 ,AK,Nome Public Schools
,Invoice,7/13/16,INV15462,SAFARI Montage K-12 Super Core Content Package - Renewals Only,1.00,"$2,500.00 ","$2,500.00 ",AK,Nome Public Schools
,Invoice,7/13/16,INV15462,SAFARI Montage K-6 Supplemental Content Package - Renewals Only,1.00,$250.00 ,$250.00 ,AK,Nome Public Schools
,Invoice,7/13/16,INV15462,"SAFARI Montage Learning Object Repository Annual School License Renewal - Interoperability Support Service - SAFARI Montage LOR Exchange Proxy Server Software - Annual software upgrades and tech support for CreationStation, Managed Home Access, Multi-Format Auto-Converter - Excludes hardware",1.00,"$1,500.00 ","$1,500.00 ",AK,Nome Public Schools
,Invoice,7/13/16,INV15462,SAFARI Montage Math's Cool Package (Renewal,1.00,$500.00 ,$500.00 ,AK,Nome Public Schools
,Invoice,7/13/16,INV15462,Safari Montage Video Ency 20th Century Content Package (renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,7/13/16,INV15462,SAFARI Montage Visual Dictionary Interactive Image Package (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,7/13/16,INV15462,SAFARI Montage-Additional Schlessinger Media 9-12 Content Package (Renewal),1.00,$295.00 ,$295.00 ,AK,Nome Public Schools
,Invoice,7/31/16,INV15523,"Swivl C3 Series Bundle - Includes Swivl C Series Base, Case, Primary Marker, 2 expansion markers, USB marker charger & 1 year Pro Cloud",2.00,$770.00 ,"$1,540.00 ",AK,University of Alaska Anchorage
,Invoice,7/31/16,INV15523,"Swivl C5 Series Bundle - Includes Swivl C Series Base, Case, Primary Marker, 4 expansion markers, 2 USB marker chargers & 1 year Pro Cloud",1.00,$960.00 ,$960.00 ,AK,University of Alaska Anchorage
,Invoice,7/31/16,INV15523,"Swivl Expand Case - Includes Swivl Expand Case, wide angle lens assembly with stand, screen protector, adapters, grip & 1 Year Pro Cloud",4.00,$95.00 ,$380.00 ,AK,University of Alaska Anchorage
,,,,,,,,,
,,,,,,,,,
,Invoice,11/7/16,INV15961,EPSON : Interactive Pen (ELPPN02),5.00,$70.00 ,$350.00 ,CA,Adolfo Camarillo High School
,Invoice,9/20/16,INV15736,EPSON: Interactive Pen - Orange,5.00,$49.00 ,$245.00 ,CA,Adolfo Camarillo High School
,Invoice,9/20/16,INV15736,EPSON: Interactive Pen for BrightLink,5.00,$70.00 ,$350.00 ,CA,Adolfo Camarillo High School
,Credit Memo,11/7/16,352,EPSON: Interactive Pen for BrightLink,-5.00,$70.00 ,($350.00),CA,Adolfo Camarillo High School
,Invoice,9/20/16,INV15736,EPSON: Replacement Pen tips for BL575WI/585WI/595WI,5.00,$10.00 ,$50.00 ,CA,Adolfo Camarillo High School
,Invoice,1/14/16,INV14848,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,1.00,$99.00 ,$99.00 ,CA,Alcott Elementary
,Invoice,1/14/16,INV14848,BoxLight P8 WX35NXT,1.00,"$1,485.00 ","$1,485.00 ",CA,Alcott Elementary
,Invoice,1/14/16,INV14848,"BoxLight Wall Mount EST-Universal Extreme Short Throw Wall Mount (12.25"" to 21"")",1.00,$149.00 ,$149.00 ,CA,Alcott Elementary
,Invoice,3/8/16,INV15030,Professional Services - Installation of BoxLight P8 WX35NXT Projector and EST Wall Mount,1.00,$500.00 ,$500.00 ,CA,Alcott Elementary
,Invoice,12/9/16,INV16087,"Replacement Lamp for Dallas 930, P8, P10, Dallas WX31NXT, WX35NXT and WX25N projectors.",3.00,$349.00 ,"$1,047.00 ",CA,Alcott Elementary
,Invoice,5/17/16,INV15276,Promethean Onsite Face to Face Training – Half Day   Completed May 11th,1.00,"$1,250.00 ","$1,250.00 ",CA,Alliance Jack H. Skirball Middle School
,Invoice,12/12/16,INV16091,"BoxLight ECO X27NST 2700 lumens, XGA 1024x768.  HDMI, 2 VGA,S-Vid, Component. L4L eligible Does not include Mount",2.00,$699.00 ,"$1,398.00 ",CA,Amelia Earhart Middle School
,Invoice,12/12/16,INV16091,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,2.00,$99.00 ,$198.00 ,CA,Amelia Earhart Middle School
,Invoice,6/30/16,INV15442,CHIEF MANUFACTURING : 2-3feet (609-914 mm) Speed-Connect Adjustable Extension Column,1.00,$125.00 ,$125.00 ,CA,Amelia Earhart Middle School
,Credit Memo,7/7/16,330,CHIEF MANUFACTURING : 2-3feet (609-914 mm) Speed-Connect Adjustable Extension Column,-1.00,$125.00 ,($125.00),CA,Amelia Earhart Middle School
,Invoice,6/30/16,INV15442,CHIEF MANUFACTURING : Universal RPA Mini Projector Mount,1.00,$175.00 ,$175.00 ,CA,Amelia Earhart Middle School
,Credit Memo,7/7/16,330,CHIEF MANUFACTURING : Universal RPA Mini Projector Mount,-1.00,$175.00 ,($175.00),CA,Amelia Earhart Middle School
,Invoice,6/30/16,INV15442,CHIEF MANUFACTURING: Custom RPA Projector Mount (Black),1.00,$195.00 ,$195.00 ,CA,Amelia Earhart Middle School
,Credit Memo,7/7/16,330,CHIEF MANUFACTURING: Custom RPA Projector Mount (Black),-1.00,$195.00 ,($195.00),CA,Amelia Earhart Middle School
,Invoice,4/21/16,INV15186,"Try Before You Buy (APT70-TBYBAPTMS): ActivPanel 70"" with ActivPanel Mobile Stand (limit 1-3 per building)",3.00,"$3,799.00 ","$11,397.00 ",CA,Amelia Earhart Middle School
,Invoice,6/30/16,INV15442,Vivitek D5110W-WNL Projector,1.00,"$2,895.00 ","$2,895.00 ",CA,Amelia Earhart Middle School
,Credit Memo,7/7/16,330,Vivitek D5110W-WNL Projector,-1.00,"$2,895.00 ","($2,895.00)",CA,Amelia Earhart Middle School
,Invoice,6/30/16,INV15442,Vivitek Short throw lens (LNS-5FX1),1.00,$725.00 ,$725.00 ,CA,Amelia Earhart Middle School
,Credit Memo,7/7/16,330,Vivitek Short throw lens (LNS-5FX1),-1.00,$725.00 ,($725.00),CA,Amelia Earhart Middle School
,Invoice,9/15/16,INV15714,"ActivPanel 75"" - 2 x stylus, 1 x ActivBoard Digital Pen, Vesa Mount & cable pack included. ActivInspire Professional Edition available FOC",1.00,"$3,999.00 ","$3,999.00 ",CA,Antelope Valley High School District
,Invoice,12/21/16,INV16117,"ActivPanel 75"" - 2 x stylus, 1 x ActivBoard Digital Pen, Vesa Mount & cable pack included. ActivInspire Professional Edition available FOC    *******DigitalEdge Contract #ESD112-DE-16A**********",10.00,"$3,999.00 ","$39,990.00 ",CA,Antelope Valley High School District
,Invoice,12/5/16,INV16075,"ActivPanel 75"" - 2 x stylus, 1 x ActivBoard Digital Pen, Vesa Mount & cable pack included. ActivInspire Professional Edition available FOC   **ActivConnect G - ships separately**",5.00,"$3,999.00 ","$19,995.00 ",CA,Antelope Valley High School District
,Invoice,12/5/16,INV16074,"ActivPanel 75"" - 2 x stylus, 1 x ActivBoard Digital Pen, Vesa Mount & cable pack included. ActivInspire Professional Edition available FOC   **Pricing only valid while supplies last**",1.00,"$3,999.00 ","$3,999.00 ",CA,Antelope Valley High School District
,Invoice,9/15/16,INV15714,"ActivPanel 84"" - 2 x stylus, 1 x ActivPanel Digital Pen, Vesa Mount & cable pack included.  ActivInspire Professional Edition available FOC",1.00,"$7,999.00 ","$7,999.00 ",CA,Antelope Valley High School District
,Invoice,12/5/16,INV16075,"Audio Enhancement Sentinel Alert System w/4 Ceiling Speakers (kit)  3010-0100 Power Supply Switching for the Achiever, Ultimate III, Elite II, MS400, GL300 and IR Receiver  1 each   3120-0001 Battery Panasonic rechargeable nickel metal hydride AA battery (orange)  1 each 3110-0014 Charger Wall Mount Mic Charger - AEBC-09  1 each 3400-0018 Dome Receiver IR-Satellite TLD100 with adapter  1 each   3000-0456 CA-50 Amplifier (Power Supply 3010-0100 Sold Separately) 1 each 1300-1233 Cable - 50ft  Cat6 Plenum w/Molded Boot – Black 1 each   3200-0003 Cable Wire Speaker 50 ft tinned plenum rated speaker wire 1 each  3200-0002 Cable Wire Speaker 75 ft tinned plenum rated speaker wire 1 each   3300-0043 Speaker CS-12 Tile Bridges for Ceiling Plenum Speaker 4 each  3300-0044  Speaker CS-12 Ceiling Speaker with Plenum Rated Back can  4 each 3100-0072 Microphone - AE Infrared Tear-Drop Microphone - Safe Enabled – NBL  1 each",6.00,"$1,295.00 ","$7,770.00 ",CA,Antelope Valley High School District
,Invoice,9/15/16,INV15714,"LENOVO : ThinkCentre M900, Intel Core i5-6500T (2.50GHz, 6MB), Windows 7 Professional 64 preinstalled through downgrade rights in Windows 10 Pro, 8.0GB, 1x256GB SSD SATA III, (x), Intel 8260, 3 Year On-site",2.00,$849.00 ,"$1,698.00 ",CA,Antelope Valley High School District
,Invoice,12/5/16,INV16075,"LENOVO : ThinkCentre M900, Intel Core i5-6500T (2.50GHz, 6MB), Windows 7 Professional 64 preinstalled through downgrade rights in Windows 10 Pro, 8.0GB, 1x256GB SSD SATA III, (x), Intel 8260, 3 Year On-site",6.00,$849.00 ,"$5,094.00 ",CA,Antelope Valley High School District
,Invoice,12/5/16,INV16074,"LENOVO : ThinkCentre M900, Intel Core i5-6500T (2.50GHz, 6MB), Windows 7 Professional 64 preinstalled through downgrade rights in Windows 10 Pro, 8.0GB, 1x256GB SSD SATA III, (x), Intel 8260, 3 Year On-site",1.00,$849.00 ,$849.00 ,CA,Antelope Valley High School District
,Invoice,9/15/16,INV15714,LENOVO Thinkcentre Tiny Vesa Mount,6.00,$15.00 ,$90.00 ,CA,Antelope Valley High School District
,Invoice,12/5/16,INV16075,LENOVO Thinkcentre Tiny Vesa Mount,6.00,$9.99 ,$59.94 ,CA,Antelope Valley High School District
,Invoice,12/5/16,INV16074,LENOVO Thinkcentre Tiny Vesa Mount,1.00,$9.99 ,$9.99 ,CA,Antelope Valley High School District
,Invoice,9/15/16,INV15714,LENOVO: Lenovo Ultraslim Wireless Keyboard & Mouse,6.00,$49.99 ,$299.94 ,CA,Antelope Valley High School District
,Invoice,12/5/16,INV16075,LENOVO: Lenovo Ultraslim Wireless Keyboard & Mouse,6.00,$49.99 ,$299.94 ,CA,Antelope Valley High School District
,Invoice,12/5/16,INV16074,LENOVO: Lenovo Ultraslim Wireless Keyboard & Mouse,1.00,$49.99 ,$49.99 ,CA,Antelope Valley High School District
,Invoice,12/5/16,INV16075,LOGITECH : Logitech B910 HD Webcam,6.00,$89.99 ,$539.94 ,CA,Antelope Valley High School District
,Invoice,2/28/16,INV14988,"500 Pro range 87"" whiteboard  - 2 teacher & 2 student ActivPen 50 included. Includes access to ActivInspire Professional Edition/Promethean ActivOffice and Promethean Applications ***Special Contract Pricing***",1.00,"$1,999.00 ","$1,999.00 ",CA,Aspen Elementary School
,Credit Memo,1/6/16,302,Uninstall 2 Epson 535W projectors and ST wall mounts. Install new Epson PowerLite 585W short-throw projectors.,-2.00,$330.00 ,($660.00),CA,Aspen Elementary School
,Invoice,3/30/16,INV15102,Installation of new cables and faceplate in each room; cables to be pulled through floor conduit * Room E115 *,1.00,$350.00 ,$350.00 ,CA,Beatty Elementary School
,Invoice,1/12/16,INV14844,Sanyo PLC-XE40 Replacement Lamp,4.00,$190.00 ,$760.00 ,CA,Beatty Elementary School
,Invoice,11/16/16,INV16004,Certified Professional Installation of Wall Box Kit and raceway,2.00,$275.00 ,$550.00 ,CA,Beulah Payne Elementary School
,Invoice,3/3/16,INV15007,"BenQ Replacement Lamp for MX710, MX613ST, MX614, MX615, MX660P Projectors",1.00,$199.00 ,$199.00 ,CA,Biola Pershing Elementary
,Invoice,10/10/16,INV15840,"Certified Professional Installation of ActivPanel 65"" with wallbox kit",1.00,$575.00 ,$575.00 ,CA,Brea Olinda High School
,Invoice,9/7/16,INV15667,BenQ MX723 Projector XGA; 3700 ANSI Lumens; 5.7lbs; HDMI x 1; D-Sub; S-V; A x 2; 10W x1; AO; Control Terminals,3.00,$736.00 ,"$2,208.00 ",CA,Bret Harte Union High School
,Invoice,1/28/16,INV14876,BenQ MX816ST Replacement Lamp,2.00,$149.00 ,$298.00 ,CA,Bret Harte Union High School
,Invoice,1/11/16,INV14837,BenQ MX723 Projector XGA; 3700 ANSI Lumens; 5.7lbs; HDMI x 1; D-Sub; S-V; A x 2; 10W x1; AO; Control Terminals,2.00,$709.00 ,"$1,418.00 ",CA,Bret Harte Union High School District
,Invoice,7/31/16,INV15518,BenQ MX723 Projector XGA; 3700 ANSI Lumens; 5.7lbs; HDMI x 1; D-Sub; S-V; A x 2; 10W x1; AO; Control Terminals,2.00,$736.00 ,"$1,472.00 ",CA,Bret Harte Union High School District
,Invoice,9/7/16,INV15668,BenQ MX723 Projector XGA; 3700 ANSI Lumens; 5.7lbs; HDMI x 1; D-Sub; S-V; A x 2; 10W x1; AO; Control Terminals,2.00,$736.00 ,"$1,472.00 ",CA,Bret Harte Union High School District
,Invoice,5/24/16,INV15317,BenQ MX816ST Replacement Lamp,2.00,$149.00 ,$298.00 ,CA,Bret Harte Union High School District
,Invoice,9/13/16,INV15685,"BoxLight ECO X32NST 3200 lumens, XGA 1024x768. HDMI, 2 VGA, S-Vid, Component.  L4L eligible  Does not include Mount",1.00,$749.00 ,$749.00 ,CA,Bret Harte Union High School District
,Invoice,9/13/16,INV15685,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,1.00,$99.00 ,$99.00 ,CA,Bret Harte Union High School District
,Invoice,9/13/16,INV15685,"BoxLight Wall Mount U - short throw wall mount extends up to 49"" extension. (used with XGA projectors)",1.00,$246.00 ,$246.00 ,CA,Bret Harte Union High School District
,Invoice,11/29/16,INV16046,Promethean ActivPen4 Nibs 2 - Single  for date code ( on back of pen) of 11/10 and newer SINGLE NIB,10.00,$2.90 ,$29.00 ,CA,Bret Harte Union High School District
,Invoice,11/29/16,INV16046,"Teacher ActivPen 50 - 2 pack for use with 100, 300 & 300 Pro and 500 Pro ranges.",1.00,$73.00 ,$73.00 ,CA,Bret Harte Union High School District
,Invoice,5/12/16,INV15256,"BoxLight ECO X32NST 3200 lumens, XGA 1024x768. HDMI, 2 VGA, S-Vid, Component.  L4L eligible  Does not include Mount",2.00,$799.00 ,"$1,598.00 ",CA,Calaveras County Office of Education
,Invoice,5/12/16,INV15256,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,2.00,$99.00 ,$198.00 ,CA,Calaveras County Office of Education
,Invoice,4/19/16,INV15157,"CA 50A System with 2 Wall Speakers with brackets, 2-50' speaker cables and 25' 3.5mm patch cable(KIT)   3000-0456 CA-50 Amplifier (Power Supply 3010-0100 Sold Separately) 1 each 3210-0020 Cable 25ft 3.5X3.5 Cable 1 each 3200-0003 Cable Wire Speaker 50 ft tinned plenum rated speaker wire 2 each 3300-0003 Speaker White Wall Speaker - WS-09 2 each 3010-0100 Power Supply Switching for the Achiever, Ultimate III, Elite II and IR Receive 1 each",1.00,$296.00 ,$296.00 ,CA,Camerado Springs Middle School
,Invoice,7/14/16,INV15467,PRM-25-Remote Control for DLP short-throw,1.00,$40.00 ,$40.00 ,CA,Campus Security Solutions
,Invoice,9/20/16,INV15740,"Promethean AB+2 V3 DLP Projector Upgrade Includes DLP short throw projector and upgrade kit. Compatible with 64"", 78"", 87"" and 95"" ActivBoards on V3 systems - Original projector plate required",1.00,$899.00 ,$899.00 ,CA,Campus Security Solutions
,Invoice,9/20/16,INV15740,Promethean projector bracket for PRM 30 or PRM 35 projector with V3 stand.,1.00,$1.00 ,$1.00 ,CA,Campus Security Solutions
,Invoice,9/28/16,INV15780,"ActivPanel 75"" - 2 x stylus, 1 Digital Pen, Android hardware, VESA Mount & cable pack included. ActivInspire Professional Edition available FOC   This special pricing is available until the quote expiration date or until ACT's supply of ActivPanel 75's is exhausted.",3.00,"$3,999.00 ","$11,997.00 ",CA,Cantua Elementary School
,Invoice,10/4/16,INV15826,"Professional Installation of Promethean 75"" ActivPanel with wallbox kit",3.00,$575.00 ,"$1,725.00 ",CA,Cantua Elementary School
,Invoice,1/19/16,INV14850,"Adjustable Wall Mount System with Floor Support for 70"" ActivPanel Touch 2",3.00,$999.00 ,"$2,997.00 ",CA,Cardinal Newman High School
,Invoice,1/19/16,INV14850,"Buy 3 Now Promotion - APT70-B3NEXT:  Bundle contains 3 ActivPanel 70"" and 3, two-year warranty extensions (from 3 to 5 years) $3799 each/total f $11,397. Maximum of 3 ActivPanels per building)",1.00,"$11,397.00 ","$11,397.00 ",CA,Cardinal Newman High School
,Invoice,1/19/16,INV14850,ClassFlow Connect wireless presentation system,3.00,$749.00 ,"$2,247.00 ",CA,Cardinal Newman High School
,Invoice,3/8/16,INV15031,"Professional Installation for ActivPanel 70"" with Adjustable Wall Mount with Floor Support",3.00,$695.00 ,"$2,085.00 ",CA,Cardinal Newman High School
,Invoice,2/3/16,INV14900,"BoxLight ECO WX32NST 3200 lumens, WXGA 1280x800.  HDMI, 2 VGA, S-Vid, Component.  L4L eligilble . Does not include Mount",5.00,$786.75 ,"$3,933.75 ",CA,Central Unified School District
,Invoice,2/3/16,INV14900,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,5.00,$99.00 ,$495.00 ,CA,Central Unified School District
,Invoice,2/3/16,INV14900,BoxLight SoundLite 10 watt amp,5.00,$199.20 ,$996.00 ,CA,Central Unified School District
,Invoice,5/4/16,INV15221,"BoxLight SoundLite30W-EXT15 - 15FT stereo 3.5mm extension male to female, for Soundlite 30W",5.00,$0.00 ,$0.00 ,CA,Central Unified School District
,Invoice,2/3/16,INV14900,"BoxLight Wall Mount U-60 wall mount extends up to 60"" extension. (used with WXGA short throw projectors)",5.00,$297.00 ,"$1,485.00 ",CA,Central Unified School District
,Invoice,4/20/16,INV15165,"Professional Service - Installation of BoxLight ECO WX32NST Projector, wall mount U-60, Wall Box Kit, BoxLight SoundLite and Pull-Down Manual Screen (customer owned)",5.00,$625.00 ,"$3,125.00 ",CA,Central Unified School District
,Invoice,3/16/16,INV15050,"Includes DLP short throw projector and upgrade kit. Compatible with 64"", 78"", 87"" and 95"" ActivBoards on V3 systems - Original projector plate required",5.00,$632.00 ,"$3,160.00 ",CA,Cesar Chavez Elementary School
,Invoice,3/16/16,INV15050,Promethean projector bracket  V3 stand.,5.00,$1.00 ,$5.00 ,CA,Cesar Chavez Elementary School
,Invoice,8/1/16,INV15520,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,1.00,$99.00 ,$99.00 ,CA,Chadwick School
,Invoice,8/1/16,INV15520,"BoxLight Rainier ITBL-MOBTLT (Desk Board)  Motorized height adjustable mobile cart with tilting option. For use with entire BOXLIGHT ultra short throw interactive projectors. Includes designer table, mobile base, adjustable column, tilting adapter, wired remote, table hardware, and projector mount. Requires interactive UST projector purchase.",1.00,"$2,699.00 ","$2,699.00 ",CA,Chadwick School
,Invoice,8/1/16,INV15520,BoxLight Rainier-LAP Laptop side shelf.  For use with all Rainier products.,1.00,$199.00 ,$199.00 ,CA,Chadwick School
,Invoice,8/1/16,INV15520,Mimio 280t Extreme Short Throw Interactive Projector with touch,1.00,"$1,799.00 ","$1,799.00 ",CA,Chadwick School
,Invoice,1/5/16,INV14827,ActivHub 2.4GHz Radio Frequency Communication Device for use with ActivBoard,2.00,$99.00 ,$198.00 ,CA,Charlie Keyan Armenian Community School
,Invoice,10/6/16,INV15838,"Includes DLP short throw projector and upgrade kit. Compatible with 64"", 78"", 87"" and 95"" ActivBoards on V3 systems - Original projector plate required",1.00,$599.00 ,$599.00 ,CA,Charlie Keyan Armenian Community School
,Invoice,10/6/16,INV15838,Professional replacement of existing PRM-20 with PRM-45 through Promethean Projector Promise.,1.00,$330.00 ,$330.00 ,CA,Charlie Keyan Armenian Community School
,Invoice,3/21/16,INV15063,"ActivBoard 6 Touch Range 78"" Dry Erase electronic interactive whiteboard. ActivInspire Professional Edition available FOC",1.00,"$1,099.00 ","$1,099.00 ",CA,Cheney Kindergarten
,Invoice,5/16/16,INV15270,Certified Professional Installation of ActivBoard Touch with PRM-45 Projector and ActivSound Bar,1.00,$850.00 ,$850.00 ,CA,Cheney Kindergarten
,Invoice,3/21/16,INV15063,"Mount Upgrade Kit with DLP short-throw. Wallbox not included. For use with both current and previous versons of 64""/78""/87""/95"" ActivBoards.",1.00,"$1,199.00 ","$1,199.00 ",CA,Cheney Kindergarten
,Invoice,3/21/16,INV15063,Promethean ActivSoundBar - For use with ActivBoard Touch Range & ActivPanel Touch.  Brackets included,1.00,$149.00 ,$149.00 ,CA,Cheney Kindergarten
,Invoice,7/27/16,INV15504,"BoxLight Rainier IFPD-MOB  Motorized height adjustable mobile cart. For use with entire BOXLIGHT ProColor line up to 84"". Includes mobile base, adjustable column, wired remote, and vesa plate",1.00,"$1,799.00 ","$1,799.00 ",CA,Chino Valley Unified School District
,Invoice,8/3/16,INV15525,"BoxLight Rainier IFPD-MOB  Motorized height adjustable mobile cart. For use with entire BOXLIGHT ProColor line up to 84"". Includes mobile base, adjustable column, wired remote, and vesa plate",1.00,"$1,799.00 ","$1,799.00 ",CA,Chino Valley Unified School District
,Invoice,4/25/16,INV15191,"Buy 3 Now Promotion - APT70-B3NEXT:  Bundle contains 3 ActivPanel 70"" and 3, two-year warranty extensions (from 3 to 5 years) $3799 each/total f $11,397. Maximum of 3 ActivPanels per building)",1.00,"$11,397.00 ","$11,397.00 ",CA,Chino Valley Unified School District
,Invoice,9/6/16,INV15661,"Certified Professional Installation of 70""  ActivPanel, which includes extended warranty",3.00,$550.00 ,"$1,650.00 ",CA,Chino Valley Unified School District
,Invoice,3/16/16,INV15049,"500 Pro range 78"" whiteboard  - 2 teacher & 2 student ActivPen 50 included. Includes access to ActivInspire Professional Edition/Promethean ActivOffice and Promethean Applications",1.00,"$1,899.00 ","$1,899.00 ",CA,Chowchilla Elementary School District
,Invoice,2/2/16,INV14891,BenQ MW817ST Replacement Lamp,4.00,$149.00 ,$596.00 ,CA,Chowchilla Elementary School District
,Invoice,7/12/16,INV15453,"BoxLight ECO X32NST 3200 lumens, XGA 1024x768. HDMI, 2 VGA, S-Vid, Component.  L4L eligible  Does not include Mount",3.00,$829.00 ,"$2,487.00 ",CA,Chowchilla Elementary School District
,Invoice,10/20/16,INV15892,"BoxLight ECO X32NST 3200 lumens, XGA 1024x768. HDMI, 2 VGA, S-Vid, Component.  L4L eligible  Does not include Mount",7.00,$829.00 ,"$5,803.00 ",CA,Chowchilla Elementary School District
,Invoice,7/12/16,INV15453,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,3.00,$99.00 ,$297.00 ,CA,Chowchilla Elementary School District
,Invoice,10/20/16,INV15892,BoxLight Lamps4life-EDU - Warranty. Boxlight will exchange the lamp  for the life of the projector!,7.00,$99.00 ,$693.00 ,CA,Chowchilla Elementary School District
,Invoice,3/16/16,INV15049,"BoxLight Wall Mount U - short throw wall mount extends up to 49"" extension. (used with XGA projectors)",1.00,$295.00 ,$295.00 ,CA,Chowchilla Elementary School District
,Invoice,4/21/16,INV15181,"Certified professional installation of ActivBoard 578 Pro, HDMI wall box, projector mount and customer-owned projector. In preparation, Customer will remove all existing hardware and cabling from the wall.",1.00,$850.00 ,$850.00 ,CA,Chowchilla Elementary School District
,Invoice,4/21/16,INV15182,"Deinstall of existing interactive whiteboard, mount, projector, wall box and cabling.",1.00,$275.00 ,$275.00 ,CA,Chowchilla Elementary School District
,Invoice,8/30/16,INV15612,"Teacher ActivPen 50 - 10 pack. For use with 100, 300 & 300 Pro and 500 Pro ranges.",1.00,$295.00 ,$295.00 ,CA,Chowchilla Elementary School District
,Invoice,5/18/16,INV15288,"Includes DLP short throw projector and upgrade kit. Compatible with 64"", 78"", 87"" and 95"" ActivBoards on V3 systems - Original projector plate required",2.00,$632.00 ,"$1,264.00 ",CA,Christa McAuliffe Elementary
,Invoice,5/18/16,INV15288,Promethean projector bracket for PRM 30 or PRM 35 projector with V3 stand.,2.00,$1.00 ,$2.00 ,CA,Christa McAuliffe Elementary
,Invoice,7/27/16,INV15505,"Globisens LD12-GS: Computer based Laboratory with 13 built in sensors for general science Voltage, Current, Light,  Air pressure, Temperature, Ambient Temperature, pH, Distance, Relative Humidity, Microphone, Sound level, GPS, Universal input",1.00,$569.00 ,$569.00 ,CA,Clovis Unified School District
