Type,Date,Document Number,Description,Qty. Sold,Sales Price,Revenue,Address: Billing Address State,Customer,School District,Year,,,
invoice,12/31/10,,,,,"$74,107.00",,Chester Valley Elementary School,Anchorage School District,2010,,,
invoice,12/31/10,,,,,"$9,310.38",,Chestnut Hill Academy,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Chief Kanim Middle School,Snoqualmie Valley School District 410,2010,,,
invoice,12/31/10,,,,,$500.00,,Clackamas High School,North Clackamas School District,2010,,,
invoice,12/31/10,,,,,$158.31,,Clackamas River Elementary School,Estacada School District 108,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Columbia Elementary School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,$450.00,,Columbia Gorge ESD,Columbia Gorge ESD,2010,,,
invoice,12/31/10,,,,,"$3,504.13",,Columbia School District 206,Columbia School District 206,2010,,,
invoice,12/31/10,,,,,"$28,894.28",,Columbia School District 400,Columbia School District 400,2010,,,
invoice,12/31/10,,,,,$404.19,,Columbia Valley Gardens,Longview School District 122,2010,,,
invoice,12/31/10,,,,,$940.00,,Consolidated Contracting & Engineering,COMPANY,2010,,,
invoice,12/31/10,,,,,$475.00,,Conway School District 317,Conway School District 317,2010,,,
invoice,12/31/10,,,,,"$6,725.19",,Creekside Elementary School,Issaquah School District,2010,,,
invoice,12/31/10,,,,,"$2,760.38",,Crescent School District 313,Crescent School District 313,2010,,,
invoice,12/31/10,,,,,"$27,142.00",,Dallas School District 2,Dallas School District 2,2010,,,
invoice,12/31/10,,,,,"$10,644.74",,Damonte Ranch High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$120.00,,Depoali Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Discovery Elementary School,Issaquah School District,2010,,,
invoice,12/31/10,,,,,"$19,656.96",,Donner Springs Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$1,021.02",,DonorsChoose.org,COMPANY,2010,,,
invoice,12/31/10,,,,,"$8,260.50",,Double Diamond Elementary,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$7,118.70",,Douglas County,COMPANY,2010,,,
invoice,12/31/10,,,,,"$195,217.76",,Douglas County School District,Douglas County School District,2010,,,
invoice,12/31/10,,,,,$550.00,,Douglas High School,Douglas County School District,2010,,,
invoice,12/31/10,,,,,"$5,241.25",,Dufur School District 29,Dufur School District 29,2010,,,
invoice,12/31/10,,,,,"$7,128.00",,E Otis Vaughn Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$9,446.00",,Eastgate Elementary School,Kennewick School District 17,2010,,,
invoice,12/31/10,,,,,"$5,115.57",,Eastside Catholic School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$9,774.90",,Echo School District 5R,Echo School District 5R,2010,,,
invoice,12/31/10,,,,,"$4,957.00",,Eckstein Middle School,Seattle School District 1,2010,,,
invoice,12/31/10,,,,,"$11,946.82",,Edison Elementary School,Kennewick School District 17,2010,,,
invoice,12/31/10,,,,,$919.94,,Edison Elementary School,Kennewick School District 17,2010,,,
invoice,12/31/10,,,,,$600.00,,Educational Service District 123 - Pasco,Educational Service District 123 - Pasco,2010,,,
invoice,12/31/10,,,,,"$17,375.00",,Edward C Reed High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$24,493.00",,Edwin Dodson Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$7,395.00",,Elizabeth Lenz Elem School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$100,727.52",,Elmcrest Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$487.55,,Emerson High School,Lake Washington School District 414,2010,,,
invoice,12/31/10,,,,,$211.44,,Endeavour Elementary School,Evergreen Public Schools,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Endeavour Elementary School,Evergreen Public Schools,2010,,,
invoice,12/31/10,,,,,"$2,223.00",,ESD 113,ESD 113,2010,,,
invoice,12/31/10,,,,,"$1,105.00",,Esther Bennett Elem School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Explorer Middle School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Fairmount Elementary School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,$400.00,,"Falco Sult & Company, P.S.",COMPANY,2010,,,
invoice,12/31/10,,,,,"$3,426.00",,Fay Galloway Elementary School,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$153,621.26",,Federal Way Public Schools,Federal Way Public Schools,2010,,,
invoice,12/31/10,,,,,"$2,292.69",,Fife High School,Fife School District 417,2010,,,
invoice,12/31/10,,,,,$307.88,,Florence Drake Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$9,706.14",,Frank Wagner Elementary School,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,$689.00,,Fred Traner Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$12,335.33",,Fryelands Elementary School,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Galena High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$9,729.94",,Gardner School,PRIVATE,2010,,,
invoice,12/31/10,,,,,$250.00,,Gardnerville Elementary School,Douglas County School District,2010,,,
invoice,12/31/10,,,,,"$31,762.00",,George L. Dilworth Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$7,230.75",,George Westergard Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$250.00,,George Whittell High School,Douglas County School District,2010,,,
invoice,12/31/10,,,,,$35.00,,Gloria Dei Lutheran Church,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$14,889.95",,Goldendale School District 404,Goldendale School District 404,2010,,,
invoice,12/31/10,,,,,"$12,144.50",,Grace Christian Schools,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Grace Warner Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$1,799.00",,Grand Ridge Elementary School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$13,796.00",,Grandview High School,Grandview School District 200,2010,,,
invoice,12/31/10,,,,,"$2,230.19",,Grandview School District 200,Grandview School District 200,2010,,,
invoice,12/31/10,,,,,"$29,784.00",,Granger School District 204,Granger School District 204,2010,,,
invoice,12/31/10,,,,,"$1,450.00",,Granite Falls School District 332,Granite Falls School District 332,2010,,,
invoice,12/31/10,,,,,$35.00,,Grant Sawyer Middle School,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$5,699.21",,Grantham Elementary School,Clarkston School District J-250-185,2010,,,
invoice,12/31/10,,,,,$599.00,,Grants Pass School District 7,Grants Pass School District 7,2010,,,
invoice,12/31/10,,,,,"$1,540.16",,Green Gables Elementary School,Federal Way Public Schools,2010,,,
invoice,12/31/10,,,,,"$4,009.38",,Green Mountain School District 103,Green Mountain School District 103,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Greenbrae Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,915.34",,Griffin Creek Elem School,Medford School District,2010,,,
invoice,12/31/10,,,,,"$10,193.81",,Haddock Education Technologies,COMPANY,2010,,,
invoice,12/31/10,,,,,$305.00,,Hamblen Elementary School,Spokane School District 81,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Harbour Pointe Middle School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$5,327.19",,Harriett Thompson Elementary School,Grandview School District 200,2010,,,
invoice,12/31/10,,,,,$49.00,,Harry S Truman High School,Federal Way Public Schools,2010,,,
invoice,12/31/10,,,,,"$1,600.00",,Hazeldale Elementary School,Beaverton School District,2010,,,
invoice,12/31/10,,,,,"$2,677.56",,Hedrick Middle School,Medford School District 549C,2010,,,
invoice,12/31/10,,,,,"$1,884.19",,Heights Elementary School,Clarkston School District J-250-185,2010,,,
invoice,12/31/10,,,,,"$8,687.76",,Helen Haller Elementary School,Sequim School District 323,2010,,,
invoice,12/31/10,,,,,"$1,155.12",,Hermiston School District 8R,Hermiston School District 8R,2010,,,
invoice,12/31/10,,,,,"$5,286.06",,Hermon Hutchens Elementary,Valdez City School District,2010,,,
invoice,12/31/10,,,,,"$5,115.57",,Hidden River Middle School,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,$450.00,,Hidden Valley Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$194.82,,Hillsboro High School,Hillsboro School District 1J,2010,,,
invoice,12/31/10,,,,,"$1,359.66",,Hillsboro School District 1J,Hillsboro School District 1J,2010,,,
invoice,12/31/10,,,,,"$14,320.82",,Holy Rosary School - Edmonds,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$1,857.25",,Home Education Exchange,Shoreline School District 412,2010,,,
invoice,12/31/10,,,,,"$4,994.00",,Hood River County School District,Hood River County School District,2010,,,
invoice,12/31/10,,,,,"$2,099.50",,Hood River Middle School,Hood River County School District,2010,,,
invoice,12/31/10,,,,,"$32,286.00",,Hood River Valley High School,Hood River County School District,2010,,,
invoice,12/31/10,,,,,"$6,896.00",,Horizon Elementary School,Kent School District,2010,,,
invoice,12/31/10,,,,,$798.94,,Huffaker Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$394.00,,Hug High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$145,824.24",,Hunter Lake Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$299.00,,Hutton Elementary School,Spokane School District 81,2010,,,
invoice,12/31/10,,,,,"$1,271.98",,Hyperion Communications LLC,COMPANY,2010,,,
invoice,12/31/10,,,,,"$5,940.76",,Immaculate Conception,COMPANY,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Incline Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Incline High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,245.00",,Incline Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$99.00,,Inglemoor High School,Northshore School District 417,2010,,,
invoice,12/31/10,,,,,"$4,740.00",,InterMountain ESD,EDUCATIONAL SERVICES,2010,,,
invoice,12/31/10,,,,,$40.00,,Ione School District R2,Ione School District R2,2010,,,
invoice,12/31/10,,,,,"$236,602.82",,Issaquah High School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,$735.00,,Issaquah Middle School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$321,601.75",,Issaquah School District 411,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$4,639.90",,Issaquah Valley Elementary School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$3,074.39",,Jacks Valley Elementary School,Douglas County School District,2010,,,
invoice,12/31/10,,,,,$828.00,,Jackson Elementary School,Riverside Unified School District,2010,,,
invoice,12/31/10,,,,,$484.00,,Jacobsen High School,Douglas County School District,2010,,,
invoice,12/31/10,,,,,"$1,998.00",,Jeff Barrons,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$6,896.00",,Jefferson Elementary School,Riverside Unified School District,2010,,,
invoice,12/31/10,,,,,"$1,196.00",,Jefferson Middle School,Olympia School District,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Jerry Whitehead Elem School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,534.00",,Jesse Hall Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$2,990.00",,Jessie Beck Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,873.94",,Jewish Day School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Juniper Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$405.73,,Kalama School District 402,Kalama School District 402,2010,,,
invoice,12/31/10,,,,,"$6,317.00",,Kamiak High School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,$23.00,,Kate Smith Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$2,940.31",,Kelso School District 458,Kelso School District 458,2010,,,
invoice,12/31/10,,,,,"$1,889.38",,Kessler Elementary School,Longview School District 122,2010,,,
invoice,12/31/10,,,,,"$37,111.99",,Klamath Falls City Schools,Klamath Falls City Schools,2010,,,
invoice,12/31/10,,,,,"$18,613.19",,Klawock City School District,Klawock City School District,2010,,,
invoice,12/31/10,,,,,"$1,299.00",,Knappa School District 4,Knappa School District 4,2010,,,
invoice,12/31/10,,,,,"$3,751.19",,Kulshan Middle School,Bellingham School District 501,2010,,,
invoice,12/31/10,,,,,$873.88,,Lake Stevens School District 4,Lake Stevens School District 4,2010,,,
invoice,12/31/10,,,,,"$104,878.62",,Lake Washington School District 414,Lake Washington School District 414,2010,,,
invoice,12/31/10,,,,,"$13,238.60",,Lake Washington Technical College,COLLEGE,2010,,,
invoice,12/31/10,,,,,"$12,685.00",,Lakota Middle School,Federal Way Public Schools,2010,,,
invoice,12/31/10,,,,,"$20,539.00",,Lamb of God Lutheran School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$5,674.00",,Lamping Elementary School,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$1,380.19",,Larrabee Elementary School,Bellingham School District 501,2010,,,
invoice,12/31/10,,,,,$398.00,,Laurence Hansen,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$118,961.88",,Lemmon Valley Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$1,616.38",,Liberty High School,Kern Union High School District,2010,,,
invoice,12/31/10,,,,,"$20,632.24",,Lincoln County School District,Lincoln County School District,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Little Flower School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$56,279.83",,Longview School District 122,Longview School District 122,2010,,,
invoice,12/31/10,,,,,$599.00,,Lopez Island School District 144,Lopez Island School District 144,2010,,,
invoice,12/31/10,,,,,"$27,045.00",,Lou Mendive Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$4,718.64",,Luckiamute Charter School,PRIVATE,2010,,,
invoice,12/31/10,,,,,$850.00,,Mabel Hoggard Elementary Sch,Clark County School District,2010,,,
invoice,12/31/10,,,,,"$10,717.28",,MacProfessionals Inc.,COMPANY,2010,,,
invoice,12/31/10,,,,,"$12,843.91",,Maltby Elementary School,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,"$13,329.98",,Mariner High School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$17,923.00",,Marysville School District 25,Marysville School District 25,2010,,,
invoice,12/31/10,,,,,$600.00,,Mathews Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$2,099.50",,May Street Elementary,Hood River County School District,2010,,,
invoice,12/31/10,,,,,"$2,249.00",,McCleary Elementary School District 65,McCleary Elementary School District 65,2010,,,
invoice,12/31/10,,,,,"$2,230.19",,Mcclure Elementary School,Grandview School District 200,2010,,,
invoice,12/31/10,,,,,"$1,316.70",,McClure Elementary School,Grandview School District 200,2010,,,
invoice,12/31/10,,,,,"$232,718.33",,McKinstry,COMPANY,2010,,,
invoice,12/31/10,,,,,$276.25,,McLoughlin Middle School,Medford School District 549C,2010,,,
invoice,12/31/10,,,,,"$6,166.88",,McMurray Middle School,Vashon Island School District 402,2010,,,
invoice,12/31/10,,,,,$125.00,,Mead School District 354,Mead School District 354,2010,,,
invoice,12/31/10,,,,,"$42,442.43",,Medford School District 549C,Medford School District 549C,2010,,,
invoice,12/31/10,,,,,"$8,902.70",,Mercer Island School District 400,Mercer Island School District 400,2010,,,
invoice,12/31/10,,,,,$59.00,,Miguel Sepulveda Elem School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,$315.00,,Miley Achievement Center,Clark County School District,2010,,,
invoice,12/31/10,,,,,$220.00,,Monroe Middle School,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,"$1,207.38",,Monroe School District 103,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,"$24,224.66",,Montesano Jr/Sr High School,Montesano School District 66,2010,,,
invoice,12/31/10,,,,,"$2,293.57",,Monticello Middle School,Longview School District 122,2010,,,
invoice,12/31/10,,,,,"$612,210.63",,Mukilteo School District 6,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$12,004.50",,Nancy Gomes Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,534.00",,Natchez Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$12,199.32",,Nautilus Elementary School,Federal Way Public Schools,2010,,,
invoice,12/31/10,,,,,"$6,964.40",,Nevada National Guard,COMPANY,2010,,,
invoice,12/31/10,,,,,"$2,368.50",,New Start High School,Highline School District 401,2010,,,
invoice,12/31/10,,,,,"$18,290.56",,Nome Public Schools,Nome Public Schools,2010,,,
invoice,12/31/10,,,,,"$5,838.18",,North Bend Elementary School,Snoqualmie Valley School District 410,2010,,,
invoice,12/31/10,,,,,"$50,223.21",,North Marion School District 15,North Marion School District 15,2010,,,
invoice,12/31/10,,,,,"$2,374.50",,North Mason High School,North Mason School District 403,2010,,,
invoice,12/31/10,,,,,"$9,856.00",,North Mason School District 403,North Mason School District 403,2010,,,
invoice,12/31/10,,,,,"$10,782.00",,North Middle School,Grants Pass School District 7,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,North Valleys High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$3,599.00",,North Wasco County School District 21,North Wasco County School District 21,2010,,,
invoice,12/31/10,,,,,$625.00,,Northern Management Services,COMPANY,2010,,,
invoice,12/31/10,,,,,"$10,901.14",,Northshore Christian Academy,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$992,408.72",,Northshore School District 417,Northshore School District 417,2010,,,
invoice,12/31/10,,,,,"$18,582.00",,O'Brien Middle School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Odyssey Elementary School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,$404.19,,Okanagon High School,Okanogan School District 105,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Olivia Park Elementary School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$18,742.50",,Olympia School District 111,Olympia School District 111,2010,,,
invoice,12/31/10,,,,,"$1,380.19",,Olympic Elementary School,Longview School District 122,2010,,,
invoice,12/31/10,,,,,"$7,040.88",,Olympic View Middle School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$14,587.71",,Oregon Episcopal School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$21,636.13",,Our Lady of the Lake Catholic School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$6,928.00",,Our Lady of the Snows,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$8,067.69",,Pacific Cascade Middle School,Issaquah School District 411,2010,,,
invoice,12/31/10,,,,,"$3,464.00",,Pacific Northern Academy,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$2,244.00",,Palmer Junior High,Matanuska-Susitna Borough School District,2010,,,
invoice,12/31/10,,,,,$398.00,,Park Place Middle School,Monroe School District 103,2010,,,
invoice,12/31/10,,,,,"$2,099.50",,Parkdale Elementary School,Hood River County School District,2010,,,
invoice,12/31/10,,,,,$999.00,,"Path Guide Technologies, Inc.",COMPANY,2010,,,
invoice,12/31/10,,,,,"$21,915.25",,Pau-Wa-Lu Middle School,Douglas County School District,2010,,,
invoice,12/31/10,,,,,"$7,768.00",,Pershing County School District,Pershing County School District,2010,,,
invoice,12/31/10,,,,,"$5,397.00",,Picnic Point Elementary School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$2,692.00",,Pomeroy High School,Pomeroy School District 110,2010,,,
invoice,12/31/10,,,,,"$18,705.26",,Pope John Paul II High School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$2,935.18",,Port Angeles School District 121,Port Angeles School District 121,2010,,,
invoice,12/31/10,,,,,$520.00,,Portland Public Schools,Portland Public Schools,2010,,,
invoice,12/31/10,,,,,$300.00,,Prescott Elementary School,Parkrose School District 3,2010,,,
invoice,12/31/10,,,,,"$11,012.33",,ProComputing,COMPANY,2010,,,
invoice,12/31/10,,,,,"$46,644.58",,Promethean Inc.,COMPANY,2010,,,
invoice,12/31/10,,,,,"$2,545.76",,Queen of Peace Catholic School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$17,092.50",,Quillayute Valley School District 402,Quillayute Valley School District 402,2010,,,
invoice,12/31/10,,,,,$519.54,,R A Brown Middle School,Hillsboro School District 1J,2010,,,
invoice,12/31/10,,,,,"$3,540.00",,Rainier View Elementary School,Seattle Public Schools,2010,,,
invoice,12/31/10,,,,,$820.00,,Redmond Middle School,Lake Washington School District 414,2010,,,
invoice,12/31/10,,,,,$700.00,,Reno-Tahoe Airport Authority,COMPANY,2010,,,
invoice,12/31/10,,,,,"$1,614.00",,Ridgefield School District 122,Ridgefield School District 122,2010,,,
invoice,12/31/10,,,,,"$1,380.19",,Robert Gray Elementary School,Longview School District 122,2010,,,
invoice,12/31/10,,,,,"$1,515.00",,Robert Mcqueen High School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$7,856.00",,Rollan Melton Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$14,490.00",,Roosevelt Elementary,Granger School District 204,2010,,,
invoice,12/31/10,,,,,"$2,129.02",,Roosevelt Elementary School,Santa Monica-Malibu Unified School District,2010,,,
invoice,12/31/10,,,,,"$3,296.97",,Roosevelt Elementary School,Santa Monica-Malibu Unified School District,2010,,,
invoice,12/31/10,,,,,"$15,963.46",,Roosevelt Elementary School,Santa Monica-Malibu Unified School District,2010,,,
invoice,12/31/10,,,,,"$2,947.76",,Sacred Heart Catholic School,PRIVATE,2010,,,
invoice,12/31/10,,,,,$276.00,,Seattle Pacific University,COLLEGE,2010,,,
invoice,12/31/10,,,,,$650.00,,Seattle School District 1,Seattle School District 1,2010,,,
invoice,12/31/10,,,,,"$1,072.50",,Secondary Academy For Success,Northshore School District 417,2010,,,
invoice,12/31/10,,,,,$771.00,,Sequim Middle School,Sequim School District 323,2010,,,
invoice,12/31/10,,,,,"$6,788.00",,Serene Lake Elementary School,Mukilteo School District 6,2010,,,
invoice,12/31/10,,,,,"$5,800.00",,Seton Catholic High School,PRIVATE,2010,,,
invoice,12/31/10,,,,,"$5,127.00",,Shelton School District 309,Shelton School District 309,2010,,,
invoice,12/31/10,,,,,"$10,602.00",,Silver Lake Elementary School,Washoe County School District,2010,,,
invoice,12/31/10,,,,,"$6,416.00",,Silver Stage Elementary School,Lyon County School District,2010,,,
invoice,12/31/10,,,,,"$273,074.20",,Sitka School District,Sitka School District,2010,,,
invoice,12/31/10,,,,,"$2,299.00",,Skagit Valley College,COLLEGE,2010,,,
invoice,12/31/10,,,,,$70.00,,Sky Valley Education Center,Monroe School District 103,2010,,,
